BioSample	Experiment	Library_Name	LoadDate	MBases	MBytes	PCR_plate	PCR_well	Run	SRA_Sample	Sample_Name	host_subject_id	replicate	seq_lab	seq_run	titration	Assay_Type	BioProject	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	collection_date	env_biome	env_feature	env_material	geo_loc_name	host	isol_growth_condt	lat_lon	strain
SAMN09634727	SRX4371155	E01JH0017_2_2_C4_JHU_2	7/12/18	62	39	2	C4	SRR7501856	SRS3529493	E01JH0017_2_2_C4	E01JH0017	PCR replicate 4	jhu	jhu2	2	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634728	SRX4371156	E01JH0038_2_2_C5_JHU_2	7/12/18	48	30	2	C5	SRR7501855	SRS3529494	E01JH0038_2_2_C5	E01JH0038	PCR replicate 4	jhu	jhu2	2	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634725	SRX4371157	E01JH0011_2_2_C2_JHU_2	7/12/18	42	26	2	C2	SRR7501854	SRS3529495	E01JH0011_2_2_C2	E01JH0011	PCR replicate 3	jhu	jhu2	2	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634726	SRX4371158	E01JH0016_2_2_C3_JHU_2	7/12/18	56	35	2	C3	SRR7501853	SRS3529496	E01JH0016_2_2_C3	E01JH0016	PCR replicate 3	jhu	jhu2	2	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634723	SRX4371159	E01JH0038_2_2_C11_JHU_2	7/12/18	56	35	2	C11	SRR7501852	SRS3529497	E01JH0038_2_2_C11	E01JH0038	PCR replicate 3	jhu	jhu2	2	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634724	SRX4371160	E01JH0016_0_2_C12_JHU_2	7/12/18	56	35	2	C12	SRR7501851	SRS3529498	E01JH0016_0_2_C12	E01JH0016	PCR replicate 3	jhu	jhu2	0	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634721	SRX4371161	E01JH0004_2_2_C1_JHU_2	7/12/18	67	42	2	C1	SRR7501850	SRS3529499	E01JH0004_2_2_C1	E01JH0004	PCR replicate 3	jhu	jhu2	2	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634722	SRX4371162	E01JH0017_2_2_C10_JHU_2	7/12/18	65	41	2	C10	SRR7501849	SRS3529500	E01JH0017_2_2_C10	E01JH0017	PCR replicate 3	jhu	jhu2	2	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634719	SRX4371163	E01JH0011_1_2_B8_JHU_2	7/12/18	65	41	2	B8	SRR7501847	SRS3529502	E01JH0011_1_2_B8	E01JH0011	PCR replicate 4	jhu	jhu2	1	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634720	SRX4371164	E01JH0016_1_2_B9_JHU_2	7/12/18	49	31	2	B9	SRR7501846	SRS3529503	E01JH0016_1_2_B9	E01JH0016	PCR replicate 4	jhu	jhu2	1	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634637	SRX4371179	E01JH0004_3_1_D1_JHU_2	7/12/18	77	48	1	D1	SRR7501832	SRS3529486	E01JH0004_3_1_D1	E01JH0004	PCR replicate 1	jhu	jhu2	3	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634638	SRX4371180	E01JH0017_3_1_D10_JHU_2	7/12/18	55	34	1	D10	SRR7501831	SRS3529487	E01JH0017_3_1_D10	E01JH0017	PCR replicate 1	jhu	jhu2	3	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634631	SRX4371185	E01JH0017_2_1_C4_JHU_2	7/12/18	46	30	1	C4	SRR7501826	SRS3529488	E01JH0017_2_1_C4	E01JH0017	PCR replicate 2	jhu	jhu2	2	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634632	SRX4371186	E01JH0038_2_1_C5_JHU_2	7/12/18	44	28	1	C5	SRR7501824	SRS3529489	E01JH0038_2_1_C5	E01JH0038	PCR replicate 2	jhu	jhu2	2	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634629	SRX4371187	E01JH0011_2_1_C2_JHU_2	7/12/18	42	26	1	C2	SRR7501823	SRS3529517	E01JH0011_2_1_C2	E01JH0011	PCR replicate 1	jhu	jhu2	2	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634635	SRX4371189	E01JH0011_2_1_C8_JHU_2	7/12/18	47	29	1	C8	SRR7501822	SRS3529484	E01JH0011_2_1_C8	E01JH0011	PCR replicate 2	jhu	jhu2	2	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634636	SRX4371190	E01JH0016_2_1_C9_JHU_2	7/12/18	50	32	1	C9	SRR7501821	SRS3529485	E01JH0016_2_1_C9	E01JH0016	PCR replicate 2	jhu	jhu2	2	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634633	SRX4371191	E01JH0016_0_1_C6_JHU_2	7/12/18	45	28	1	C6	SRR7501819	SRS3529490	E01JH0016_0_1_C6	E01JH0016	PCR replicate 2	jhu	jhu2	0	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634634	SRX4371192	E01JH0004_2_1_C7_JHU_2	7/12/18	47	29	1	C7	SRR7501818	SRS3529491	E01JH0004_2_1_C7	E01JH0004	PCR replicate 2	jhu	jhu2	2	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634778	SRX4371116	E01JH0004_10_2_G7_JHU_2	7/12/18	66	41	2	G7	SRR7501895	SRS3529456	E01JH0004_10_2_G7	E01JH0004	PCR replicate 4	jhu	jhu2	10	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634777	SRX4371117	E01JH0038_0_2_G6_JHU_2	7/12/18	67	42	2	G6	SRR7501894	SRS3529457	E01JH0038_0_2_G6	E01JH0038	PCR replicate 4	jhu	jhu2	0	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634772	SRX4371119	E01JH0038_0_2_G12_JHU_2	7/12/18	64	40	2	G12	SRR7501891	SRS3529459	E01JH0038_0_2_G12	E01JH0038	PCR replicate 3	jhu	jhu2	0	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634771	SRX4371120	E01JH0038_10_2_G11_JHU_2	7/12/18	59	37	2	G11	SRR7501893	SRS3529460	E01JH0038_10_2_G11	E01JH0038	PCR replicate 3	jhu	jhu2	10	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634770	SRX4371121	E01JH0017_10_2_G10_JHU_2	7/12/18	74	46	2	G10	SRR7501890	SRS3529461	E01JH0017_10_2_G10	E01JH0017	PCR replicate 3	jhu	jhu2	10	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634769	SRX4371122	E01JH0004_10_2_G1_JHU_2	7/12/18	80	50	2	G1	SRR7501889	SRS3529462	E01JH0004_10_2_G1	E01JH0004	PCR replicate 3	jhu	jhu2	10	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634776	SRX4371123	E01JH0038_10_2_G5_JHU_2	7/12/18	48	30	2	G5	SRR7501887	SRS3529463	E01JH0038_10_2_G5	E01JH0038	PCR replicate 4	jhu	jhu2	10	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634775	SRX4371124	E01JH0017_10_2_G4_JHU_2	7/12/18	72	45	2	G4	SRR7501886	SRS3529464	E01JH0017_10_2_G4	E01JH0017	PCR replicate 4	jhu	jhu2	10	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634774	SRX4371125	E01JH0016_10_2_G3_JHU_2	7/12/18	60	39	2	G3	SRR7501888	SRS3529465	E01JH0016_10_2_G3	E01JH0016	PCR replicate 3	jhu	jhu2	10	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634773	SRX4371126	E01JH0011_10_2_G2_JHU_2	7/12/18	38	24	2	G2	SRR7501885	SRS3529501	E01JH0011_10_2_G2	E01JH0011	PCR replicate 3	jhu	jhu2	10	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634684	SRX4371280	E01JH0016_10_1_G9_JHU_2	7/12/18	51	32	1	G9	SRR7502015	SRS3529573	E01JH0016_10_1_G9	E01JH0016	PCR replicate 2	jhu	jhu2	10	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634683	SRX4371281	E01JH0011_10_1_G8_JHU_2	7/12/18	42	26	1	G8	SRR7502017	SRS3529574	E01JH0011_10_1_G8	E01JH0011	PCR replicate 2	jhu	jhu2	10	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634686	SRX4371282	E01JH0017_15_1_H10_JHU_2	7/12/18	38	25	1	H10	SRR7502014	SRS3529575	E01JH0017_15_1_H10	E01JH0017	PCR replicate 1	jhu	jhu2	15	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634685	SRX4371283	E01JH0004_15_1_H1_JHU_2	7/12/18	79	50	1	H1	SRR7502013	SRS3529576	E01JH0004_15_1_H1	E01JH0004	PCR replicate 1	jhu	jhu2	15	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634680	SRX4371284	E01JH0038_10_1_G5_JHU_2	7/12/18	42	26	1	G5	SRR7502011	SRS3529544	E01JH0038_10_1_G5	E01JH0038	PCR replicate 2	jhu	jhu2	10	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634679	SRX4371285	E01JH0017_10_1_G4_JHU_2	7/12/18	51	32	1	G4	SRR7502010	SRS3529542	E01JH0017_10_1_G4	E01JH0017	PCR replicate 2	jhu	jhu2	10	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634682	SRX4371286	E01JH0004_10_1_G7_JHU_2	7/12/18	50	31	1	G7	SRR7502012	SRS3529577	E01JH0004_10_1_G7	E01JH0004	PCR replicate 2	jhu	jhu2	10	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634681	SRX4371287	E01JH0038_0_1_G6_JHU_2	7/12/18	58	36	1	G6	SRR7502009	SRS3529578	E01JH0038_0_1_G6	E01JH0038	PCR replicate 2	jhu	jhu2	0	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634688	SRX4371288	NTC_NA_1_H12_JHU_2	7/12/18	4	2	1	H12	SRR7502008	SRS3529579	NTC_NA_1_H12	NTC	PCR replicate 5	jhu	jhu2	NA	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634687	SRX4371289	E01JH0038_15_1_H11_JHU_2	7/12/18	52	32	1	H11	SRR7502006	SRS3529580	E01JH0038_15_1_H11	E01JH0038	PCR replicate 1	jhu	jhu2	15	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634718	SRX4371356	E01JH0004_1_2_B7_JHU_2	7/12/18	61	38	2	B7	SRR7501942	SRS3529609	E01JH0004_1_2_B7	E01JH0004	PCR replicate 4	jhu	jhu2	1	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634717	SRX4371357	E01JH0011_0_2_B6_JHU_2	7/12/18	55	35	2	B6	SRR7501939	SRS3529512	E01JH0011_0_2_B6	E01JH0011	PCR replicate 4	jhu	jhu2	0	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634714	SRX4371358	E01JH0016_1_2_B3_JHU_2	7/12/18	51	32	2	B3	SRR7501938	SRS3529568	E01JH0016_1_2_B3	E01JH0016	PCR replicate 3	jhu	jhu2	1	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634713	SRX4371359	E01JH0011_1_2_B2_JHU_2	7/12/18	46	29	2	B2	SRR7501936	SRS3529567	E01JH0011_1_2_B2	E01JH0011	PCR replicate 3	jhu	jhu2	1	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634716	SRX4371360	E01JH0038_1_2_B5_JHU_2	7/12/18	46	29	2	B5	SRR7501935	SRS3529610	E01JH0038_1_2_B5	E01JH0038	PCR replicate 4	jhu	jhu2	1	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
